Fuel,110,DC
Electricity,205,KZ
Electricity,111,ZE
Electricity,103,SP
Electricity,106,GV
Electricity,109,SW
Electricity,211,HN
Electricity,104,BD
Electricity,104,DA
Electricity,104,JE
Electricity,112,QG
Electricity,106,PK
Electricity,112,AG
Electricity,106,ZB
Electricity,106,MX
Electricity,110,BK
Electricity,209,BA
Electricity,108,UR
Electricity,111,RI
Electricity,102,HP
Electricity,103,CW
Electricity,108,WH
Electricity,102,NK
Electricity,111,SC
Electricity,110,AM
Electricity,102,TA
Electricity,202,JV
Electricity,208,VR
Electricity,105,HE
Electricity,309,AH
Electricity,103,BF
Electricity,109,FY
Electricity,101,LE
Electricity,208,XH
Electricity,101,AJ
Electricity,101,IL
Electricity,305,BF
Electricity,109,RD
Electricity,105,FH
Electricity,103,IE
Electricity,104,FO
Electricity,302,AL
Electricity,109,ZY
Electricity,110,WO
Electricity,209,NZ
Electricity,102,BL
Electricity,108,DB
Electricity,102,DZ
Electricity,111,AZ
Electricity,205,IX
Electricity,104,PS
Electricity,102,HB
Electricity,112,LB
Electricity,107,CO
Electricity,104,QM
Electricity,210,PI
Electricity,205,LI
Electricity,208,LE
Electricity,104,WB
Electricity,107,AT
Electricity,106,SQ
Electricity,102,ZY
Electricity,103,BC
Electricity,209,IE
Electricity,112,XW
Electricity,109,ZM
Electricity,305,ZC
Electricity,112,DB
Electricity,105,DV
Electricity,111,BC
Electricity,302,MR
Electricity,109,IH
Electricity,106,AT
Electricity,108,MJ
Electricity,102,LL
Electricity,106,LC
Electricity,212,AX
Electricity,111,GM
Electricity,110,UM
Electricity,104,EP
Electricity,104,LQ
Electricity,110,OF
Electricity,310,CJ
Electricity,303,HQ
Electricity,211,NZ
Electricity,308,GH
Electricity,103,GG
Electricity,108,FO
Electricity,204,LF
Electricity,112,RM
Electricity,202,LL
Electricity,206,LK
Electricity,110,KY
Electricity,105,IV
Electricity,204,MX
Electricity,107,FU
Electricity,109,HB
Electricity,110,VB
Electricity,103,AP
Electricity,311,DS
Electricity,105,TP
Fuel,105,OJ
Fuel,104,LM
Fuel,301,NQ
Fuel,109,UQ
Fuel,110,PI
Fuel,106,FU
Fuel,312,CH
Fuel,103,OJ
Fuel,110,QK
Fuel,108,CB
Fuel,303,AQ
Fuel,111,TR
Fuel,208,ZI
Fuel,103,TK
Fuel,101,PL
Fuel,110,AC
Fuel,108,QW
Fuel,203,AV
