1,110,WJ
0,205,QW
1,111,XI
0,103,TQ
2,106,DK
0,109,WM
2,211,OQ
0,104,RW
2,104,EZ
2,104,SE
2,112,WE
3,106,TQ
1,112,UU
2,106,ZO
0,106,IV
1,110,JZ
2,209,BX
3,108,IZ
3,111,CX
3,102,JV
1,103,SJ
2,108,GX
3,102,SA
1,111,QM
0,110,WS
3,102,YK
3,202,ER
0,208,HO
1,105,KP
2,309,EO
1,103,AK
0,109,IH
1,101,UG
0,208,RU
1,101,CR
0,101,PI
2,305,TR
2,109,KV
2,105,JY
0,103,SJ
2,104,BB
2,302,YH
1,109,JE
2,110,WL
2,209,ER
0,102,UB
1,108,RD
0,102,BK
2,111,LB
3,205,GX
1,104,ZB
3,102,JJ
1,112,CU
1,107,ZR
1,104,OH
1,210,DU
1,205,UW
3,208,WN
2,104,RM
2,107,NG
1,106,UD
3,102,BG
0,103,RA
1,209,XR
3,112,UC
3,109,PV
2,305,HB
2,112,ZI
2,105,UU
2,111,UC
3,302,PR
1,109,WD
2,106,AW
2,108,XD
0,102,JQ
3,106,GP
0,212,IK
2,111,MF
1,110,FJ
2,104,VH
0,104,IR
0,110,LQ
1,310,CX
0,303,GX
3,211,BN
1,308,RY
0,103,DK
2,108,GG
2,204,LR
3,112,RL
0,202,GF
0,206,DV
3,110,WJ
2,105,EK
3,204,NU
2,107,QZ
3,109,XX
1,110,PM
3,103,NB
0,311,WJ
0,105,EB
0,105,RG
2,104,FF
3,301,PE
1,109,PR
1,110,NE
1,106,UR
3,312,CK
2,103,HM
0,110,LI
1,108,OE
2,303,RR
0,111,DH
1,208,NI
2,103,BZ
3,101,GE
1,110,VP
2,108,NC
2,203,KO
3,110,UJ
0,108,YM
2,106,OJ
3,106,RH
3,111,CY
0,107,YE
3,303,XV
2,108,LZ
3,103,KK
1,202,OB
2,105,PV
2,105,DD
1,201,CX
2,103,ST
3,111,CB
2,112,MQ
1,105,IU
0,106,TD
3,109,AG
1,207,UY
1,107,MN
3,112,JK
3,110,PI
2,302,YI
2,111,JA
3,110,OS
0,103,JG
2,104,DB
0,104,CR
3,210,IQ
1,101,EX
1,102,HW
3,101,GT
3,111,OF
0,109,LE
1,107,HO
3,112,ZE
2,204,WR
1,101,GE
3,109,AF
2,108,WG
3,207,BU
2,110,YV
1,107,QN
0,101,RA
1,101,VO
0,109,LD
3,107,NG
2,110,BS
1,112,BK
2,102,UU
3,108,HA
1,302,ZO
2,110,MV
0,106,KK
2,111,ZA
1,101,KV
1,112,ER
0,101,JV
3,106,SC
0,109,RK
3,201,UZ
2,104,XC
3,110,AE
2,101,FQ
3,112,LM
2,301,YZ
0,112,WC
2,109,HY
2,105,TP
3,104,IN
1,105,JU
3,102,IO
2,108,LH
3,109,UB
3,302,NX
0,109,BN
0,108,HK
2,103,US
1,101,NC
3,109,BU
2,104,JH
2,108,NX
2,106,GA
2,112,UT
2,306,CV
3,110,SL
3,112,ZA
2,111,YL
3,101,XV
3,106,NP
2,105,CM
0,104,TX
2,109,SM
3,104,KT
2,105,XL
3,103,QC
3,111,KZ
0,109,ZA
1,311,HS
3,108,TH
1,101,ER
1,107,OJ
1,102,QB
0,105,KB
1,107,WV
2,103,LU
2,206,DF
2,107,XG
3,111,QS
3,111,CJ
2,110,OW
0,104,YF
0,101,NM
1,109,NP
2,102,QG
2,105,EL
3,112,EQ
1,108,LO
2,112,RR
3,211,LX
3,104,VK
0,111,AX
2,103,FT
3,112,JZ
0,111,YE
2,108,TX
1,101,XF
3,103,FM
3,206,TT
3,304,RQ
0,310,WK
0,108,CW
0,110,WW
3,111,IH
0,104,UN
1,203,QZ
2,109,XU
2,106,ZL
3,102,LM
2,101,LD
3,102,UB
0,111,PX
1,312,HR
1,111,MU
3,210,PM
2,210,GZ
3,303,QA
2,201,EY
3,107,DT
1,108,GJ
0,108,WI
1,102,CQ
3,110,PU
1,104,CO
3,110,DN
3,110,PB
0,107,QW
1,110,KV
2,208,KG
2,107,MF
3,101,RM
2,206,MI
1,107,RL
1,103,EA
3,308,SV
1,107,PW
2,107,AO
2,110,JY
0,304,BM
3,202,KW
0,110,MC
3,102,LG
2,102,ES
3,206,TD
1,103,WE
2,105,ZO
1,105,RB
2,110,RC
0,201,DK
1,207,BS
